Тип задачи,Ключ проблемы,Идентификатор проблемы,Приоритет,Статус,Автор,Исполнитель,Тема,Customer Request Type,Cоздано,Время закрытия,Время закрытия упрощен,Реакция исполнителя,Реакция исполнителя упрощен,Описание
Customer claim,CCS-8177850,14755220,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 23:11,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177685,14754968,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 21:55,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом"
Customer claim,CCS-8177661,14755005,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 21:45,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177638,14754941,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 21:37,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177596,14754860,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 21:19,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177552,14754835,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 21:05,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177543,14754829,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 21:01,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177489,14754750,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 20:42,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката.Решили вопрос возвратом."
Customer claim,CCS-8177481,14754743,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 20:40,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177467,14754685,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 20:36,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
